 Gross District Domestic Product (DDP)in Karnataka  for the year : 2023-24				
				
Sl. No	District	"Gross District
Domestic Product
(GDDP) (in Rs.Lakhs)"	Population	"Per capita
GDDP 
(in RS.)"
1	Bagalkote	5863824	2083150	281488
2	Bangalore Urban	101009638	12738588	792942
3	Bangalore Rural	3803185	1110329	342528
4	Belagavi	9769313	5216570	187275
5	Ballari	5124607	1561853	328111
6	Bidar	3652746	1868055	195537
7	Vijayapura	4809503	2511098	191530
8	Chamarajanagar	3025393	1023231	295671
9	Chikkaballapur	3506251	1313128	267015
10	Chikkamagaluru	5451777	1090763	499813
11	Chitradurga	4059987	1743454	232870
12	Dakshina Kannada	13852665	2236760	619318
13	Davanagere	4127391	1704049	242211
14	Dharwad	6004899	2038582	294563
15	Gadag	2502023	1113115	224777
16	Kalaburagi	4926486	2933272	167952
17	Hassan	5784273	1743793	331706
18	Haveri	3604269	1691956	213024
19	Kodagu	1814588	538146	337192
20	Kolar	4096353	1628297	251573
21	Koppal	2921323	1578566	185062
22	Mandya	5813884	1748549	332498
23	Mysuru	8962650	3265698	274448
24	Raichur	4221068	2172014	194339
25	Ramanagara	3797382	1216314	312204
26	Shivamogga	7114338	1789857	397481
27	Tumakuru	9237100	2657779	347550
28	Udupi	6704988	1148443	583833
29	Uttara Kannada	4420491	1452471	304343
30	Vijayanagar	3388449	1635566	207173
31	Yadagiri	2353292	1385551	169845
	Karnataka State	255724135	67939000	376403
				
				
"Source: Directorate of Economics and Statistics, Bangalore"				
	https://des.karnataka.gov.in/uploads/media_to_upload1767079068.pdf			
