Years of Education,Monthly Per Capita Income (in Rs.),Sector
14,30000,Service
16,95000,Service
12,76000,Service
4,22000,Agriculture
14,74000,Agriculture
13,107000,Agriculture
4,17000,Agriculture
15,68000,Industry
15,80000,Service
12,30000,Industry
15,69000,Industry
12,28000,Service
15,90000,Industry
17,117000,Industry
6,18000,Agriculture
15,71000,Industry
17,119000,Industry
13,56000,Industry
15,95000,Industry
10,39000,Agriculture
15,32000,Service
19,88000,Service
12,31000,Industry
20,138000,Service
18,155000,Service
5,12000,Agriculture
16,99000,Service
13,56000,Industry
12,59000,Agriculture
18,150000,Service
18,136000,Service
17,107000,Service
12,40000,Industry
13,49000,Industry
20,145000,Service
20,135000,Service
15,52000,Service
15,59000,Service
19,147000,Service
15,78000,Service
15,74000,Service
4,23000,Agriculture
20,139000,Service
15,48000,Service
9,20000,Agriculture
20,156000,Service
15,79000,Industry
17,107000,Industry
20,137000,Service
20,145000,Service
7,14000,Agriculture
17,106000,Industry
10,31000,Industry
13,49000,Industry
11,31000,Industry
15,43000,Service
13,69000,Agriculture
15,43000,Service
16,99000,Service
20,141000,Service
11,26000,Industry
15,107000,Service
5,26000,Agriculture
20,141000,Service
17,116000,Industry
17,117000,Service
17,110000,Industry
15,40000,Service
15,85000,Service
15,138000,Service
17,134000,Industry
20,135000,Service
4,14000,Agriculture
15,61000,Industry
15,63000,Service
11,30000,Industry
20,150000,Service
20,155000,Service
10,11000,Industry
12,34000,Industry
15,71000,Industry
19,124000,Service
20,135000,Service
7,26000,Agriculture
15,118000,Service
18,140000,Service
15,86000,Service
15,82000,Service
16,94000,Service
17,120000,Service
6,10000,Agriculture
19,133000,Service
16,98000,Service
15,145000,Service
13,56000,Industry
11,52000,Agriculture
13,51000,Industry
17,124000,Service
15,53000,Service
10,30000,Industry
16,99000,Service
9,36000,Agriculture
15,83000,Industry
15,57000,Service
15,71000,Service
16,99000,Service
17,103000,Industry
13,58000,Industry
13,54000,Industry
17,104000,Service
8,21000,Agriculture
16,102000,Service
20,142000,Service
15,90000,Industry
4,13000,Agriculture
4,25000,Agriculture
15,60000,Service
15,99000,Industry
4,15000,Agriculture
7,23000,Agriculture
15,61000,Industry
15,88000,Industry
15,97000,Industry
18,135000,Service
10,22000,Industry
12,43000,Industry
15,94000,Agriculture
15,64000,Industry
15,77000,Industry
15,73000,Service
19,99000,Service
15,76000,Industry
15,59000,Industry
4,20000,Agriculture
19,117000,Service
15,65000,Industry
15,92000,Industry
16,94000,Service
10,28000,Industry
15,74000,Industry
15,87000,Service
18,139000,Service
16,95000,Service
8,26000,Agriculture
12,47000,Service
18,125000,Service
5,10000,Agriculture
17,116000,Service
11,28000,Industry
13,46000,Industry
20,142000,Service
16,96000,Service
12,39000,Industry
18,129000,Service
13,54000,Industry
13,58000,Industry
15,76000,Service
12,38000,Industry
15,69000,Industry
13,51000,Industry
15,45000,Service
19,152000,Service
15,134000,Service
15,63000,Industry
15,73000,Industry
15,67000,Service
6,13000,Agriculture
18,150000,Service
18,152000,Service
17,102000,Service
15,80000,Industry
13,45000,Industry
18,133000,Service
12,55000,Service
10,17000,Industry
12,42000,Industry
15,59000,Industry
16,98000,Service
15,69000,Industry
19,96000,Service
18,128000,Service
15,98000,Industry
5,13000,Agriculture
8,20000,Agriculture
15,88000,Service
4,12000,Agriculture
10,31000,Industry
17,112000,Service
17,104000,Service
5,25000,Agriculture
9,11000,Industry
12,40000,Industry
12,37000,Industry
19,108000,Service
16,92000,Service
20,148000,Service
17,101000,Industry
18,130000,Service
13,57000,Industry
15,89000,Service
15,65000,Industry
13,52000,Industry
15,65000,Service
15,56000,Service
20,139000,Service
11,33000,Industry
18,124000,Service
18,156000,Service
15,71000,Industry
17,116000,Service
15,74000,Industry
15,88000,Industry
15,75000,Industry
20,135000,Service
20,142000,Service
15,44000,Service
15,75000,Service
15,97000,Service
4,8000,Agriculture
15,49000,Service
12,29000,Industry
17,124000,Industry
12,25000,Service
15,73000,Industry
18,130000,Service
17,99000,Industry
6,21000,Agriculture
15,83000,Industry
13,45000,Industry
12,70000,Service
20,152000,Service
4,10000,Agriculture
16,91000,Service
15,60000,Industry
5,20000,Agriculture
18,146000,Service
5,9000,Agriculture
12,37000,Service
17,116000,Service
17,137000,Industry
15,87000,Industry
15,59000,Industry
17,110000,Service
15,76000,Industry
17,112000,Industry
15,93000,Industry
15,87000,Industry
17,125000,Industry
15,79000,Service
5,18000,Agriculture
12,26000,Industry
